ID;TEXTURE;TPBUS;FAMILY;TYPOLOGY;INDUSTRIAL;DESCRIPTOR;MARKETING_NAME;ACTIVES;SPF;FREE_FROM;PACKAGING;SEL;EVENT;COLLECTION;TXT_REPLACE;FORMULATOR;ST_STABILITY;ST_COMPATIBILITY;STAB_BEG_DATE;STAB_END_DATE;COMP_T_BEG_DATE;COMP_T_END_DATE;EFFICACY_TEST;PANEL_TEST;ROW_MAT_SHORTAGE;EXCLUSIVITY;ESCL_CUST;FILLING_TIP;EFF_ACTIVES;VEGAN;MARKETABLE_BULK;ADR;SEMAFORO_INDUSTRIALIZZAZIONE;NATURALITY;RANGE;ST_SAMPLING;ST_SAMPLING_STOCK;ST_SAFETY_TEST;ST_IMERYS_TALC;SEMAFOTO_TALCO_COST;PLANT;ESTIM_REAL_FORM_DATE;ESTIM_TECN_TRANS_DATE;TXT_ATL;SEMAFORO_TEC_TRANSFER;CONSUMER_CLUSTER;LOW_VALUE;MEDIUM_VALUE;HIGH_VALUE
538;Q24;M;LIPSTICK;STICK;ANHYDROUS;LONG LASTING | MAT | VELVETY;Smooth lips;Cotton oil/ Signaline S;;PRESERVATIVES;Stick ø 12,7;H;Chromaville 2012;Long Fidelity;;;G;G;;;;;;;;;;;;;;;G;;;O;G;O;;;Italy;;;N;G;;14,81;17,26;26,64
548;P40;M;GLOSS;FLUID/ LIQUID;ANHYDROUS;MULTIDIMENSIONAL (3D/color travel);CHEERFUL;Vitamin E, Jojoba oil;;MINERAL OIL | OGM | PARABENS | PARAFFIN | PEG | PHENOXYETHANOL | PHTHALATES | PRESERVATIVES | SLS;flaconette;H;Cosmoprof 2020;Trend - Candid Flare;;;R;G;24-FEB-21;24-FEB-21;24-FEB-21;24-FEB-21;;;;;;;;N;;;R;;;O;G;O;;;Italy;;;N;R;;70,65;0;70,69
405;I39;M;EYESHADOW;GODET;COMPACT POWDER;MAT | VELVETY;Pleasure;Vitamin E;;PARABENS;Compact ø 35,5;H;;;;;R;R;;;;;;;;;;;;;;;R;;;O;G;O;R;;Italy;;;N;R;;;;
406;B28;M;EYESHADOW;;COMPACT POWDER;FROST / PEARLY / SATIN | LONG LASTING | METALLIC | NO TRANSFER;Silky pearly;;;;Compact ø 35,5;H;;;;;G;G;;;;;;;;;;;;;;;G;;;O;G;O;R;;Italy;;;N;G;;10,09;0;11,38
425;PW009;M;BLUSH;GODET;COMPACT POWDER;FROST / PEARLY / SATIN | LUMINOUS / RADIANT | MAT;One touch;Dismutase supeoxide, anti aging and anti radical;;PARABENS;Compact ø 43 - Screw sponge pot 59-408;H;Chromaville 2013 | Cosmoprof 2011;Face | Powders;;;G;G;21-APR-09;21-LUG-09;21-APR-09;21-LUG-09;N;;;;;;N;;;;G;;;O;G;O;R;;Italy;;;N;G;;6,02;6,73;8,94
1995;LP658;M;BRONZER | LIPSTICK;STICK;ANHYDROUS (HOT POURED IN MOULD);BLURRING | METALLIC;SOFT METAL;Coconut Ester, Pure Vitamin E (not in STD2);;PARABENS | PARAFFIN | PEG | PERFUMES | PHENOXYETHANOL | PRESERVATIVES | SILICONES | SLS | TALC;Stick;O;Cosmoprof 2022 | MakeUp in New York 2021;New Vibes | Open Conversation;;;G;G;29-SET-21;29-SET-21;29-SET-21;29-SET-21;;;;;;LIPSTICK POURING SOFT;;Y;;;G;;;;;G;G;;Italy;;;N;G;;35,17;41,19;46,62
2055;EM750;M;FOUNDATION;FLUID/ LIQUID;EMULSION (LIQUID TO CREAM);SATIN/PEARLY;CARE FLARE (FSUV7733);Super Moisturizing Botanical Ingredient from Indian Plant;;;;O;Cosmoprof 2022;Protechtive;;;G;G;20-LUG-22;20-LUG-22;20-LUG-22;25-LUG-22;;;N;;;POURING;;Y;;;G;;;;;G;G;;Vitre;29-AGO-23;;N;G;Beautopians | Beauty&Ethics;22,96;23,13;26,64
1933;EM692;M;HIGHLIGHTER | MULTIUSE;FLUID/ LIQUID;ANHYDROUS (LIQUID TO CREAM);FROST / PEARLY / SATIN | LUMINOUS / RADIANT;IDYLL;The Glass Flower from Ancient Volcanic Lakes (functional 0,5%),;;PRESERVATIVES | SILICONES;Shake well before use;O;Cosmoprof 2021 | Drops September 2020;Clean Future;;Marie Paule Robert;G;G;29-APR-21;30-APR-21;29-APR-21;08-AGO-22;;;;;;;Y;Y;;;G;;;;;G;G;;Vitre;20-LUG-22;;Y;G;Beautopians | Hero Believers;16,6;18,04;18,52
2032;EM743;M;OTHERS;BODY APPLICATION | FLUID/ LIQUID;EMULSION (LIQUID TO CREAM);CREAMY;BLISSFUL;Special Prebiotic Ingredient, Sodium HyaluronateÂ , lactic acid;;;;H;Cosmoprof 2022;Open Conversation;;;G;G;20-LUG-22;20-LUG-22;20-LUG-22;20-LUG-22;;;;;;;Y;Y;;;G;;;;;G;G;;Vitre;;;N;G;;8,94;0;0
2035;LP458;M;LIPSTICK;HOT POURED;ANHYDROUS (HOT POURED IN MOULD);LUMI-MAT;I LIKE LIPSTICK;;;;;H;;;;;R;R;06-APR-22;06-APR-22;06-APR-22;06-APR-22;;;;;;;;;;;;;;;;R;G;;Italy;;;N;R;;15,86;0;0
2116;EM797;M;FIXER / SETTING | PRIMER;FLUID/ LIQUID;EMULSION (LIQUID TO CREAM);MAT;MAGIC STARTER (FTRV8418);Enantia Chlorantha and Oleanoic Acid Association, Shea Butter;;MINERAL OIL | OGM | PARABENS | PARAFFIN | PEG | PERFUMES | PHENOXYETHANOL | PHTHALATES | SILICONES | SLS | TALC;tube;O;MakeUp in New York 2022;Nude Prelude;;;G;G;21-OTT-22;21-OTT-22;21-OTT-22;29-NOV-22;;;;;;LIQUID FILLING;Y;Y;;;G;;;;;G;;;Vitre;;;N;G;Beautopians | Mainstream Conscious | Solution Focused;19,71;0;0
836;EM158;M;FOUNDATION;HOT POURED;EMULSION;LONG LASTING | MAT;GUMMY FOUNDATION;Salicylic acid, Cucurbita pepo extract;;D5 | PARABENS | PRESERVATIVES;Air tight pot;H;Chromaville 2012 | Chromaville 2016;Colour Solution;;;G;G;;;;;;;;;;;;;;;G;;;O;G;O;;;Italy;;;N;G;;;;
867;EX051;M;BRONZER | EYESHADOW | HIGHLIGHTER;MUSE | VISUAL;EXTRUDED;METALLIC | SPECIAL TOUCH;M-use;;;FRAGRANCE | PARABENS;10800 Belotti or Vela HCP;H;Chromaville 2012;;;;G;G;27-GEN-12;27-APR-12;27-GEN-12;27-APR-12;N;;;;;;;;;;G;;;O;G;G;R;;Italy;;;N;G;;9,55;12,77;38,53
751;EM095;M;FOUNDATION;FLUID/ LIQUID;EMULSION;LONG LASTING | MAT | NATURAL | WATERPROOF;Infinite perfection;Complex of natural oils and vit. A-C-E/ Complex of ceramides;12 Theor.;PARABENS | TALC;Air tight pump;H;Cosmoprof 2011 | Fall-Winter 2012-2013;Cruise 2012-13 | Face;;;G;G;05-NOV-19;05-NOV-19;05-NOV-19;05-NOV-19;;;Y;;;;;;;Y;G;;;O;G;O;;;Italy;;;N;G;;25,65;25,68;33,04
755;EM019;M;CONCEALER;HOT POURED;EMULSION;BLURRING | CREAMY | LUMINOUS / RADIANT;Sublime skin;Vitamin E/ Coconut oil/ Green tea extract;;CYCLOPENTHASILOXANE | PRESERVATIVES;Glass pot;H;Cosmoprof 2011;Face;;;G;G;;;;;;;;;;;;;;;G;;;O;G;O;;;Italy;;;N;G;;12,39;14,14;19,48
758;LP052;M;PRIMER;HOT POURED;ANHYDROUS;BLURRING | FIXING | LONG LASTING | TRANSPARENT;Advanced base;Gamma orizanolo/ Vitamin E;;PRESERVATIVES;Pan;H;Cosmoprof 2011;Face;;;R;R;;;;;N;;;;;;N;;;;R;;;O;G;O;;;Italy;;;N;R;;33,2;34,2;34,65
760;PW098;M;BLUSH | BRONZER | FACE POWDER | HIGHLIGHTER;GODET;COMPACT POWDER;FROST / PEARLY / SATIN | LONG LASTING | LONG LASTING | LUMINOUS / RADIANT | MAT | SATIN/PEARLY | WATERPROOF;INVINCIBLE;White tea extract;;MINERAL OIL | PARABENS | PARAFFIN | PHENOXYETHANOL;Pan;H;Cosmobeauty Seoul 2017 | Cosmoprof 2011 | Drops September 2020 | Fall-Winter 2012-2013;Cosmico | Cruise 2012-13 | Face;;;G;G;09-FEB-11;09-MAG-11;09-FEB-11;09-MAG-11;Y;;;;;;N;Y;;;G;;;O;G;G;G;;Italy;;;N;G;;2,17;6,23;8,67
765;MA069;M;MASCARA;FLUID/ LIQUID;EMULSION;3 IN 1 (mascara) | CURLING | LENGHTENING | VOLUME;Perfect wonder;Panthenol;;PARABENS | PETROLATUM | T.E.A.;Chromavis suggestion: Rusi brush MA 7247 - brush AP 160;H;Cosmoprof 2011;Eyes;;;R;R;;;;;;;;;;;;;;;R;;;O;G;O;;;Italy;;;N;R;;15,49;0;0
468;MA020;M;MASCARA;FLUID/ LIQUID;EMULSION;CREAMY | VOLUME;Cream definition;Txt.-005/STD10 contains Phytokeratin;;PARABENS | T.E.A.;Chromavis suggestion: Bomal AP 134;H;;;;;G;G;;;;;;;;;;;;;;;G;;;O;G;O;;;Italy;;;N;G;;5,35;6,99;20,2
574;G17;M;GLOSS;FLUID/ LIQUID | ROLL ON;ANHYDROUS;GLITTER-RING / DIAMOND / SPARKLING | GLOSSY / SHINY;Multireflection;;;;Roll-on;H;;;;;G;G;;;;;;;;;;;;;;;G;;;O;G;O;;;Italy;;;N;G;;,32;,37;,53
617;LP014;M;LIPBALM;CARE | PH REAGENT | STICK;ANHYDROUS;CREAMY | LUMINOUS / RADIANT | PLUMPING;Revelation;Vitamin E/Maxi lip/Menthol/Mango oil;15 Theor.;;Frosted Stylo ø 11/ Stick Ã˜ 12,7;H;Cosmoprof 2010;Adapting;;;G;G;;;;;N;;;;;;Y;;;;G;;;O;G;O;;;Italy;;;N;G;;;;
628;EX024;M;HIGHLIGHTER;GODET;EXTRUDED;;Natural reflection;Jojoba oil/Coconut butter;;FRAGRANCE;It can be adapted to several shapes and pans;H;Cosmoprof 2010;100% Natural Origin;;;G;G;;;;;;;;;;;;;;;G;;;O;G;O;R;;Italy;;;N;G;;7,36;8,62;18,92
645;EM083;M;FOUNDATION;FLUID/ LIQUID;EMULSION;LONG LASTING | LUMINOUS / RADIANT | MAT;Elite;Complex of 3 vitamins/ Complex of powder and sodium Jaluronate;;OIL | PARABENS;Glass pot;H;Cosmoprof 2010;Fondamental;;;G;G;;;;;;;;;;;;;;;G;;;O;G;O;;;Italy;;;N;G;;;;
650;EM082;M;FIXER / SETTING | PRIMER;HOT POURED;ANHYDROUS;BLURRING | TRANSPARENT;Invisible balance;Lipofacteur Vitentiel/ Multivitaminic complex/ Sodium Jaluronate;10 Theor.;CYCLOPENTHASILOXANE | OIL | PRESERVATIVES;Compat ø 59;H;Cosmoprof 2010 | Cosmoprof 2011;Face | Fondamental;;;R;R;;;;;;;;;;;;;;;R;;;O;G;O;R;;Italy;;;N;R;;18,35;0;0
653;PW081;M;EYESHADOW;GODET;COMPACT POWDER;LONG LASTING | MAT | WET & DRY;Passe partout;Peach hazel oil;;;Aluminium pan;H;;;;;R;R;;;;;;;;;;;;;;;R;;;O;G;O;R;;Italy;;;N;R;;;;
501;Q56;M;MASCARA;FLUID/ LIQUID | TOP COAT;EMULSION;GLITTER-RING / DIAMOND / SPARKLING;Night lash;;;CYCLOPENTHASILOXANE | PARABENS | PRESERVATIVES | T.E.A.;Chromavis suggestion: Bomal AP 051;H;;;;;G;G;;;;;;;;;;;;;;;G;;;O;G;O;;;Italy;;;N;G;;5,07;0;22,16
1025;MA153;M;MASCARA;FLUID/ LIQUID;EMULSION;CREAMY | LENGHTENING | VOLUME;Infinite length;BD Fibres: special wavy shape fibers;;D5 | PARABENS | PARAFFIN | T.E.A.;Bomal brush AP 160;H;Chromaville 2013 | Chromaville 2014 | Cosmoprof Asia 2018;Mascara & Liner;;;G;G;;;;;N;;;;;;N;;;;G;;;O;G;O;;;Italy;;;Y;G;;9,71;9,97;12,46
1072;MA111;M;MASCARA;FLUID/ LIQUID;EMULSION;CREAMY | LENGHTENING | PANORAMIC | VOLUME;Creamy volume;Panthenol;;T.E.A.;Brush: Brivaplast APP118;H;Chromaville 2014;;;Vanessa Alves;G;G;29-GEN-19;29-GEN-19;29-GEN-19;29-GEN-19;Y;;;;;;N;;;;G;;;O;G;O;;;Italy;;;N;G;;8,21;8,32;8,69
929;MA126;M;LINER;FLUID/ LIQUID;ANHYDROUS;COLOURED | FIXING | GLITTER-RING / DIAMOND / SPARKLING | LONG LASTING | NO TRANSFER | WATERPROOF;Full endless colour;Dermaxyl. repairing and nourishing;;D5 | FRAGRANCE | PARABENS | T.E.A.;The texture requires a PVC bottle Bomal - AP 248;H;Drops 2021;Mascara & Liner;;;G;G;;;;;N;;;;;;N;;;;G;;;O;G;O;;;Italy;;;N;G;;25,46;0;25,85
971;I09;M;BRONZER | EYESHADOW | HIGHLIGHTER;CHALK | SPECIAL SHAPE & LETTER (extruded);EXTRUDED;FROST / PEARLY / SATIN | GLITTER-RING / DIAMOND / SPARKLING | LUMINOUS / RADIANT | MULTIDIMENSIONAL (3D/color travel);Shimmer reflections;Upon request it is possible to introduce specific active principles;;;It can be presented in: pan, chalk, cube and other shape to obtain different visual effects;H;Cosmoprof 2007 | Fall-Winter 2014-2015;Sweet Senses;;;G;G;31-LUG-19;31-LUG-19;31-LUG-19;31-LUG-19;N;;;;;;;;;;G;;;O;G;G;O;;Italy;;;N;G;;10,85;14,15;72,16
1010;I05;M;HIGHLIGHTER;GODET;COMPACT POWDER;FROST / PEARLY / SATIN;;;;;;H;;;;;R;R;;;;;;;;;;;;;;;R;;;O;G;O;R;;Italy;;;N;R;;;;
1884;MA489;M;MASCARA;FLUID/ LIQUID;EMULSION (LIQUID TO CREAM);3 IN 1 (mascara) | CURLING | LENGHTENING | VOLUME;EYE DELIGHT;Anti-oxidant actives;;MINERAL OIL | PARABENS | PEG | PHENOXYETHANOL | SILICONES | SLS;;O;Cosmoprof 2020 | Cosmoprof 2022 | Drops 2021 | Drops September 2020;Clean Future | Innovation;;;G;G;19-NOV-20;19-FEB-21;18-DIC-20;18-MAR-21;;;;;;LIQUID FILLING;;;;;G;;;G;G;G;G;;Italy;;;N;G;;14,79;15,4;16,38
1837;EM582;M;CONCEALER | FOUNDATION;STICK;EMULSION (HOT POURED IN PACK);BLURRING | CREAMY | LUMI-MAT | SPECIAL TOUCH | WATER;COOLER;;;ALCOHOL | MINERAL OIL | OIL | PARABENS | PARAFFIN | PEG | PHTHALATES | SLS | TALC;Airtight packaging is required;H;Cosmoprof 2020 | Drops July 2020;Texture WOW | Watery Poured Emulsion;;Ambra Morosini;R;G;17-MAR-20;17-GIU-20;17-MAR-20;17-GIU-20;;;;;;POURING;;Y;;;R;;;O;G;G;;;Italy;;;N;G;;20,18;20,38;25,19
1838;EM584;M;FIXER / SETTING | PRIMER;STICK;EMULSION;BLURRING;SKILLFUL;;;MINERAL OIL | PARABENS | PARAFFIN | PEG | PHTHALATES | SLS | TALC;Airtight packaging is required;H;Chromaville 2012 | Cosmoprof 2020 | Drops July 2020;Texture WOW | Watery Poured Emulsion;;Ambra Morosini;G;G;18-MAR-20;18-GIU-20;18-MAR-20;18-GIU-20;;;;;;LIPSTICK POURING METAL;;Y;;;G;;;O;G;O;;;Italy;;;N;G;;18,29;23,86;24,28
1776;EM557;M;HIGHLIGHTER;MOUSSE;EMULSION (LIQUID TO CREAM);FROST / PEARLY / SATIN | LUMINOUS / RADIANT;LIGHTEN UP;;;FRAGRANCE | PARABENS;Airtight packaging is required;H;MakeUp in New York 2019;Cybersoft;;Marie Paule Robert;G;G;19-NOV-19;19-NOV-19;05-SET-19;05-DIC-19;;;;;;LIQUID FILLING;;Y;;;G;;;O;G;G;G;;Italy;;;N;G;;4,72;0;0
1770;LP503;M;LIPSTICK;STICK;ANHYDROUS (HOT POURED IN MOULD) | ANHYDROUS (HOT POURED IN PACK);CREAMY | LONG LASTING | LUMI-MAT;LIP KARMA;;;MINERAL OIL | PARABENS | PARAFFIN | PEG | PHENOXYETHANOL | PHTHALATES | PRESERVATIVES | SILICONES | TALC;;H;Cosmoprof 2022 | Cosmoprof Asia 2019 | Drops September 2020;Enigma | Post Perfectionism | Power Luxe;;;G;G;10-GEN-20;10-APR-20;10-GEN-20;10-APR-20;;;;;;LIPSTICK POURING SOFT;;Y;;;G;;;O;G;G;G;;Italy;;;N;G;;16,1;17,35;28,3
1772;PR189;M;BLUSH | LIPSTICK;HOT POURED;ANHYDROUS;GUMMY | MAT | SPECIAL TOUCH | TALC FREE | VELVETY;COLOUR WHISPER;;;MINERAL OIL | OGM | PARABENS | PARAFFIN | PEG | PERFUMES | PHENOXYETHANOL | PHTHALATES | PRESERVATIVES | SLS | TALC;Pot;H;Cosmoprof Asia 2019 | Drops October 2020;Blush at First Sight | Blushing Tenderness;;;G;G;02-OTT-19;03-GEN-20;02-OTT-19;03-GEN-20;;;;;;;;Y;;;G;;;O;G;O;;;Italy;;;N;G;;28,18;32,98;34,1
1742;MA428;M;LINER;FLUID/ LIQUID;GEL;GLOSSY / SHINY | LONG LASTING;AUDA - CITY;ADVANCED SHIELD NET: Red Tea Extract, Flax seed extract;;MINERAL OIL | PARABENS | PEG | SILICONES | T.E.A.;Airtight packaging is required;H;MakeUp in New York 2019;Protaction;;;R;R;02-OTT-20;02-OTT-20;02-OTT-20;02-OTT-20;;;;;;;;Y;;;R;;;O;G;O;;;Italy;;;N;R;;33,98;0;0
1745;PW331;M;BLUSH | BRONZER | FACE POWDER | HIGHLIGHTER;GODET;COMPACT POWDER;NATURAL | TALC FREE;FLATTERY;;;MINERAL OIL | PARABENS | PARAFFIN | PERFUMES | PHENOXYETHANOL | SILICONES | TALC;Compact;O;Cosmoprof 2021 | Hong Kong Event 2024 | MakeUp in New York 2019 | MakeUp in New York 2021 | Makeup in Paris 2024;Delicate Wilderness | Heist | New Vibes | The end of more;;;G;G;29-GIU-20;29-SET-20;29-GIU-20;29-SET-20;;;;;;PRESSING;;Y;;;G;99,00%;;O;G;G;;;Italy;;;N;G;Beauty&Ethics | Essentials | Solution Focused;10,44;13,16;31,52
1692;BK037;M;HIGHLIGHTER;GODET;BAKED;FROST / PEARLY / SATIN | LUMINOUS / RADIANT | METALLIC;GLOW MAGNIFIER;•  Mediterranean and Atlantic plan extract;;MINERAL OIL | PARABENS | PARAFFIN | TALC;Presented in a trousse for baked ø 59;H;Cosmoprof 2019 | MakeUp in New York 2021;New Vibes | Positive Luxury;;;G;G;26-AGO-19;26-AGO-19;26-AGO-19;26-AGO-19;N;;;;;;Y;;;;G;;;O;G;G;;;Italy;;;N;G;;23,95;29,14;33,65
1705;LP467;M;GLOSS;FLUID/ LIQUID;ANHYDROUS;LUMINOUS / RADIANT | NATURAL;RETURN TO LIPGLOSS;;;COLOR INDEX | MINERAL OIL | PARABENS | PARAFFIN | PEG | PHENOXYETHANOL | SILICONES;flaconette;H;MakeUp in Paris 2019;Return;;Erika Pellini;O;G;11-LUG-19;11-OTT-19;20-AGO-19;20-NOV-19;;;;;;;;Y;;;R;94,00%;>90%;O;G;O;;;Italy;;;N;R;;24,54;25,35;25,49
1651;LP449;M;LIPBALM;CARE | FLUID/ LIQUID;ANHYDROUS (LIQUID TO CREAM);CREAMY | LUMINOUS / RADIANT | NATURAL | VELVETY;FORBIDDEN KISS;Sphere of Biopolymer 2%, Orange Butter 10%, Green Coffee oil 0,5%, Cocoa Butter;;MINERAL OIL | PARABENS | PARAFFIN | PEG | PERFUMES | PHENOXYETHANOL | PRESERVATIVES | SILICONES;Presented in tube;H;Cosmoprof 2019 | Cosmoprof 2020 | Cosmoprof 2022 | Drops May 2020 | Drops September 2020 | MakeUp in Los Angeles 2019;Clean Beauty | Open Conversation | Positive Luxury | Skincare;;;G;G;16-APR-19;15-LUG-19;17-MAG-19;19-AGO-19;N;;;;;;;Y;;;G;79,00%;;G;G;G;G;;Italy;;;N;G;;38,05;0;0
1653;EM493;M;FOUNDATION;FLUID/ LIQUID;EMULSION (LIQUID TO CREAM);LONG LASTING | LUMI-MAT | NO TRANSFER | SPECIAL TOUCH;SKIN ANDROID;•  New flexible silicone •  Second skin natural biopolymer(functional 1%);;ALCOHOL | D5 | PARABENS;Tube with pump Airtight packaging is required;H;Cosmoprof 2019 | Cosmoprof 2021 | Drops June 2020;Latex | Techno B;;Ambra Morosini;G;G;09-AGO-19;08-NOV-19;04-APR-19;04-LUG-19;Y;;;;;TUBE FILLING;Y;Y;;Y;G;;;O;G;G;G;;Italy;;;N;G;;57,86;58,63;72,17
1209;EM277;M;FOUNDATION;FLUID/ LIQUID;EMULSION;LONG LASTING | LUMI-MAT;SKIN ARTIST;Natural vitamin E, Glycerine, Vitamin C, Green tea water, Glacier Water;;D5 | PARABENS;Opaque/coloured pot;H;Fall-Winter 2015-2016;;;Marie Paule Robert;R;R;24-NOV-15;08-GEN-15;01-AGO-18;01-AGO-18;;;;;;;;;;;R;;;O;G;O;;;Italy;;;N;R;;27,34;29,79;32,94
1362;Q21-PW019;M;BLUSH;DUO | HOT POURED | LOOSE;HYBRID;LONG LASTING | MAT | VELVETY;BE PRETTY!;Q21: Vegetal polymer with nourishing |  Vitamin E.;;FRAGRANCE;Duo pack: a trousse for the hot poured blush that overlook a pot for the loose powder.;H;Chromaville 2017 | Cosmoprof Asia 2018;;;Erika Pellini;G;G;28-MAR-17;11-APR-17;28-MAR-17;11-APR-17;N;;;;;;N;;;;G;;;O;G;O;;;Italy;;;N;G;;;;
1482;LP358;M;LIPSTICK;STICK;EMULSION;LONG LASTING | LUMI-MAT | NO TRANSFER | WATER;URBAN NEON;Glacier water;;ALCOHOL | D5 | FRAGRANCE | PARABENS | T.E.A.;Watertight cilck pen;H;Cosmoprof 2018;Super Hero;;Erika Pellini;R;R;11-APR-18;11-LUG-18;11-APR-18;11-LUG-18;N;;;;;;N;;;;G;;;O;G;O;;;Italy;;;N;G;;10,86;11,52;12,55
1599;EM465;M;FOUNDATION;FLUID/ LIQUID;EMULSION;CREAMY | LONG LASTING | LUMI-MAT;RADIAL MAT;•  Multifunctional precious stones complex;;D5 | OIL | PARABENS;tube;H;MakeUp in New York 2018;Implosion;;Marie Paule Robert;O;R;04-OTT-19;03-GEN-20;31-AGO-18;31-AGO-18;N;;;;;;N;;;;R;;;O;G;O;;;Italy;;;N;R;;41,46;0;41,92
1494;MA297;M;EYEBROW;FLUID/ LIQUID;ANHYDROUS (LIQUID TO CREAM);LONG LASTING | MAT | NO TRANSFER | WATERPROOF;INDELIBROW;;;D5 | FRAGRANCE | MINERAL OIL | PARABENS | PARAFFIN | PEG | PERFUMES | PHENOXYETHANOL | PRESERVATIVES | SLS;Airtight packaging is required;O;Cosmoprof 2018 | Cosmoprof Asia 2019 | Drops June 2020 | MakeUp in Los Angeles 2019 | MakeUp in Los Angeles 2023;Dark Vision | Face Fables | Mask Friendly | Power Luxe | Show Off;;;G;G;17-MAG-18;17-AGO-18;24-MAG-18;24-AGO-18;Y;;;;;;N;Y;N;;G;;;O;G;G;G;;Italy;;;N;G;Essentials | Hero Believers | Mainstream Conscious;46,98;47,05;58,74
1492;MA322;M;MASCARA;FLUID/ LIQUID;EMULSION (LIQUID TO CREAM);CREAMY | CURLING | VOLUME;VEUVE NOIRE;Cannabis Sativa seed oil;;D5 | MINERAL OIL | PARABENS | PARAFFIN | PEG | SILICONES | T.E.A.;Mascara bottle;H;Cosmoprof 2018 | Cosmoprof Asia 2019;Blushing Tenderness | Show Off;;Elisa Gerbaudo;G;G;08-GIU-18;10-DIC-18;24-MAG-18;27-AGO-18;Y;;;;;;N;N;;;G;;;O;G;G;G;;Italy;;;N;G;;16,74;0;0
1255;LP219;M;GLOSS;CUSHION | FLUID/ LIQUID;ANHYDROUS;GLOSSY / SHINY;LIP CUSHION;Monoi de Thaiti, special brown algae;;D5 | PRESERVATIVES | TALC;Special cushion tube applicator;H;Chromaville 2016;;;Valentina Pinto;G;G;13-GEN-16;18-MAG-18;13-GEN-16;18-MAG-18;;;;;;;;;;;G;;;O;G;O;;;Italy;;;N;G;;1,04;1,18;1,45
1240;EM308;M;FIXER / SETTING | PRIMER;FLUID/ LIQUID;EMULSION (LIQUID TO CREAM);MAT;ACQUACTIVA MIST;Active ingredient extracted from Arctic root, Active ingredient extracted from Pomegranate fruit;;PARABENS;Airtight mist spray pump;H;Chromaville 2016;;;;G;G;07-LUG-16;10-OTT-16;13-SET-16;16-DIC-16;N;;Y;;;;N;;;;G;;;O;G;G;G;;Italy;30-GIU-24;;N;G;;2,11;2,2;2,42
1244;PW201;M;FACE POWDER;LOOSE;COMPACT POWDER;MAT;SUBLIME SKIN FUSION;Rose hip oil;;PARABENS;Compact;H;Chromaville 2016;;;Alma Brambilla;G;G;20-GEN-16;18-MAG-18;20-GEN-16;18-MAG-18;;;;;;;;;;;G;;;O;G;O;R;;Italy;;;N;G;;;;
2069;LP572;M;GLOSS;FLUID/ LIQUID;ANHYDROUS (LIQUID TO CREAM);DEWY / WET | GLOSSY / SHINY | PLUMPING;GLOSS MASTER;;;;;O;MakeUp in Los Angeles 2024;MUTE POETRY;;;G;G;25-MAG-22;25-MAG-22;25-MAG-22;25-MAG-22;Y;;;;;LIQUID FILLING;;;;;G;;;;;G;G;;Italy;;;Y;G;Beautopians | Essentials | Hero Believers | Mainstream Conscious;12,85;12,92;14,3
2143;PW506;M;HIGHLIGHTER;GODET;COMPACT POWDER;;HIGHVOKE;Forsythia Suspensa Extract from Biotech;;;;O;Chromaville 2012 | Cosmoprof 2023;Supercharged;;;G;G;15-FEB-23;16-MAG-23;15-FEB-23;16-MAG-23;;;;;;;Y;Y;;;O;;;;;G;;;Italy;30-GIU-23;;N;G;Beautopians;100,32;106,21;113,49
2144;MA617;M;MASCARA;FLUID/ LIQUID;EMULSION (LIQUID TO CREAM);LONG LASTING;A more;;;MINERAL OIL | OGM | PARABENS | PARAFFIN | PEG | PHENOXYETHANOL | PHTHALATES | SILICONES | SLS | TALC;;O;Chromaville 2012 | Cosmoprof 2023 | Cosmoprof 2024;Hyperdrive | Supercharged;;;G;G;10-GEN-23;10-APR-23;16-FEB-23;16-MAG-23;Y;;Y;;;LIQUID FILLING;N;Y;;;G;;;;;G;;;Italy;;;N;G;Beauty&Ethics;16,19;0;18,59
1949;LP579;M;LIPSTICK;HOT POURED | STICK;ANHYDROUS (HOT POURED IN MOULD);BLURRING | LUMINOUS / RADIANT | SPECIAL TOUCH;MAGMA;White Orquid extracted active;;MINERAL OIL | OGM | PARABENS | PARAFFIN | PEG | PERFUMES | PRESERVATIVES | SILICONES | TALC;;O;Cosmoprof 2021 | Cosmoprof 2023 | Drops June 2020;Latex | Unbelivebold;;;G;G;06-MAG-21;06-AGO-21;06-MAG-21;06-AGO-21;;;;;;LIPSTICK POURING SOFT;N;Y;;;G;;;;;G;G;;Italy;;;N;G;Hero Believers;18,67;20,84;33,38
2185;PW533;M;EYESHADOW;GODET;COMPACT POWDER;FROST / PEARLY / SATIN | SPECIAL TOUCH;CODEWORD;;;MINERAL OIL | OGM | PARABENS | PARAFFIN | PEG | PERFUMES | PHENOXYETHANOL | PHTHALATES | SLS | TALC;;O;MakeUp in Paris 2023;Untold Senses;;;G;G;11-MAG-23;14-AGO-23;11-MAG-23;14-AGO-23;;;;;;;N;Y;;;O;;;;;G;;;Italy;30-SET-23;;N;G;;25,06;0;0
