ID;TEXTURE;TPBUS;FAMILY;TYPOLOGY;INDUSTRIAL;DESCRIPTOR;MARKETING_NAME;ACTIVES;SPF;FREE_FROM;PACKAGING;SEL;EVENT;COLLECTION;TXT_REPLACE;FORMULATOR;ST_STABILITY;ST_COMPATIBILITY;STAB_BEG_DATE;STAB_END_DATE;COMP_T_BEG_DATE;COMP_T_END_DATE;EFFICACY_TEST;PANEL_TEST;ROW_MAT_SHORTAGE;EXCLUSIVITY;ESCL_CUST;FILLING_TIP;EFF_ACTIVES;VEGAN;MARKETABLE_BULK;ADR;SEMAFORO_INDUSTRIALIZZAZIONE;NATURALITY;RANGE;ST_SAMPLING;ST_SAMPLING_STOCK;ST_SAFETY_TEST;ST_IMERYS_TALC;SEMAFOTO_TALCO_COST;PLANT;ESTIM_REAL_FORM_DATE;ESTIM_TECN_TRANS_DATE;TXT_ATL;SEMAFORO_TEC_TRANSFER;CONSUMER_CLUSTER;LOW_VALUE;MEDIUM_VALUE;HIGH_VALUE
1318;PW206;M;EYESHADOW;GODET;COMPACT POWDER;FROST / PEARLY / SATIN | GLITTER-RING / DIAMOND / SPARKLING | LONG LASTING | MAT | VERSATILE;IMPACT3 EYE;;;MINERAL OIL | PARABENS | PARAFFIN | PERFUMES;Compact;H;CHINA BEAUTY EXPO 2019 | Cosmoprof 2019 | Cosmoprof Asia 2019 | Fall-Winter 2017-2018;Blushing Tenderness | Heartthrob;;Alma Brambilla;G;G;13-SET-16;13-DIC-16;13-SET-16;13-DIC-16;Y;;;;;;;Y;;;G;;;O;G;G;G;;Italy;;;N;G;;11,82;19,48;107,2
2330;EX089;M;HIGHLIGHTER;GODET;EXTRUDED;CREAMY | FROST / PEARLY / SATIN | LUMINOUS / RADIANT | SPECIAL TOUCH;FROM EX086 DIVINE BLAZE;;;PARABENS;Compact;H;;;;;G;G;26-NOV-20;26-FEB-21;26-NOV-20;26-FEB-21;;;;;;;;;;;;;;;;G;;;;;;;G;;10,79;11,66;23,85
2226;EM832;M;HIGHLIGHTER;STICK;EMULSION (HOT POURED IN PACK);FROST / PEARLY / SATIN;LUNA;Sodium Haluronate (0,1% funct.);;MINERAL OIL | OGM | PARABENS | PARAFFIN | PEG | PERFUMES | PHTHALATES | SLS | TALC;;O;Cosmoprof 2010 | MakeUp in Los Angeles 2024;ROAMING FREE;;;R;R;28-FEB-24;28-MAG-24;28-FEB-24;28-MAG-24;;;;;;;;;;;R;;;;;G;;;Italy;31-DIC-25;;N;G;Beautopians | Hero Believers;12,55;14,03;40,41
2228;MA653;M;MASCARA;;ANHYDROUS;MAT;OUVERTURE;Millet Seed Oil, Sunflower Seed oil, Wheat Grain Extract, Rosemary Leaf Extract;;OGM | PARABENS | PARAFFIN | PEG | PERFUMES | PHENOXYETHANOL | PHTHALATES | SLS | TALC;;O;MakeUp in Los Angeles 2024;ROAMING FREE;;;G;G;27-NOV-23;27-FEB-24;05-GEN-24;05-APR-24;;;;;;LIQUID FILLING;;Y;N;;G;;;;;G;;;Italy;30-APR-24;;N;G;Beautopians | Mainstream Conscious | Solution Focused;46,06;0;0
2417;EM895;M;FOUNDATION;FLUID/ LIQUID;EMULSION (LIQUID TO CREAM);BLURRING | LONG LASTING | NATURAL;;;;;;H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25,15;25,68;26,8
2295;LP772;M;GLOSS;FLUID/ LIQUID | OIL;ANHYDROUS (HOT POURED IN PACK);CREAMY | GLOSSY / SHINY;POTION;;;MINERAL OIL | OGM | PARABENS | PARAFFIN | PEG | PHENOXYETHANOL | PHTHALATES | PRESERVATIVES | SILICONES | SLS | TALC;;O;MakeUp in New York 2024;;;;G;G;08-FEB-24;08-MAG-24;01-AGO-24;01-NOV-24;N;N;;;;;Y;Y;;;G;;;;;;;;Italy;29-NOV-24;;N;G;Beautopians | Beauty&Ethics;62,45;62,57;71,69
2375;COOKIE DOUGH;M;EYESHADOW;;HYBRID;;HY001;;;;;H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Italy;;;;;;;;
2376;HY001;M;EYESHADOW;;HYBRID;;COOKIE DOUGH;;;MINERAL OIL | OGM | PARABENS | PARAFFIN | PEG | PHENOXYETHANOL | PHTHALATES | SILICONES | SLS | TALC;;O;Cosmoprof 2025;;;;O;O;14-MAR-25;15-GIU-25;14-MAR-25;15-GIU-25;N;Y;;;;;N;;;;R;;;;;O;;;Italy;30-SET-25;;;;Beautopians | Beauty&Ethics | Hero Believers;50,2;51,1;60,05
355;M47;M;FOUNDATION;FLUID/ LIQUID;EMULSION;MAT;Provide;White tea extract/Vitamin E/Glycerine;;;Tube/pump;H;Cosmoprof 2024;;;Marie Paule Robert;G;G;11-GIU-10;13-SET-10;22-OTT-18;22-OTT-18;;;;;;;;;;;G;;;O;G;O;;;Italy;;;N;G;;;;
376;M32;M;FOUNDATION;HOT POURED;EMULSION;MAT;Silk finish;Vitamin E/Wheat proteins;10 Theor.;OIL;Air tight pot;H;Cosmoprof 2024;;;;G;G;05-NOV-19;05-NOV-19;05-NOV-19;05-NOV-19;;;Y;;;;;;;;G;;;O;G;O;G;;Italy;;;N;G;;;;
382;Q88;M;FIXER / SETTING | PRIMER;FLUID/ LIQUID;EMULSION;FROST / PEARLY / SATIN | LUMINOUS / RADIANT;Sun reflections;Vitamin E/Illuminating active;;OIL | PARABENS;Air tight tube;H;Makeup in Paris 2024;;;;G;G;;;;;;;;;;;;;;;G;;;O;G;O;;;Italy;;;N;G;;3,78;0;4,01
444;Z15;M;FACE POWDER | HIGHLIGHTER;LOOSE;LOOSE POWDER;FROST / PEARLY / SATIN | MAT;Impalpable;Jojoba Oil;;TALC;Pot;H;;;;;G;G;29-OTT-18;29-OTT-18;29-OTT-18;29-OTT-18;;;;;;;;;;;R;;;O;G;O;;;Italy;;;N;R;;8,46;8,54;8,99
1913;SP031;M;FOUNDATION;SPRAY;AEROSOL;CREAMY | LONG LASTING | MAT | NATURAL;Swift Twist;Hyaluronic Acid;;MINERAL OIL | OGM | PARABENS | PARAFFIN | PHTHALATES | SLS | TALC;;H;Cosmoprof 2021;Xtra Wear Reboot;;;G;G;17-SET-19;17-DIC-20;19-MAR-21;19-GIU-21;Y;;;;;;;Y;;;;;;O;G;G;G;;Italy;;;N;G;;40,54;40,69;40,76
1922;LP629;M;LIPSTICK;STICK;ANHYDROUS (HOT POURED IN MOULD);LONG LASTING | MAT;Virtuoso;;;MINERAL OIL | OGM | PARABENS | PARAFFIN | PEG | PERFUMES | PHENOXYETHANOL | PHTHALATES | PRESERVATIVES | SLS;;O;Chromaville 2012 | Cosmoprof 2010 | Cosmoprof 2021;Xtra Wear Reboot;;;G;G;28-GIU-21;28-GIU-21;28-GIU-21;28-GIU-21;Y;;;;;LIPSTICK POURING METAL;;Y;;;O;;;G;G;G;G;;Italy;;;N;G;Beauty&Ethics;35,11;37,64;44,03
2114;FMRV8313;M;;CARE | GEL & GEL LIKE | OIL;ANHYDROUS (LIQUID TO CREAM);NATURAL;GENTLE CLEANSING OIL;Complex of anidroba copaiba and acai oil, Shea butter;;MINERAL OIL | OGM | PARABENS | PARAFFIN | PEG | PHENOXYETHANOL | PHTHALATES | PRESERVATIVES | SILICONES | SLS | TALC;Pump bottle;H;MakeUp in New York 2022;Nude Prelude;;;G;R;24-OTT-22;24-OTT-22;01-MAR-23;01-GIU-23;;;;;;;Y;Y;;;R;;;;;G;;;Vitre;31-DIC-23;;N;R;;;;
